Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 64,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 81, train_loss 0.001138, train_ic 0.031183, train_icir 0.326188, train_ric 0.034404, train_ricir 0.287693, train_mae 0.014040, train_rmse 0.019707, train_mape 210.500519, train_acc 0.465745, valid_loss 0.0015186317, valid_ic -0.001537, valid_icir -0.032591, valid_ric 0.009215, valid_ricir 0.076951, valid_mae 0.020910, valid_rmse 0.039142, valid_mape 176.917892, valid_acc 0.638081, test_loss 0.002173, ic 0.007030, icir 0.129231, ric 0.026973, ricir 0.248639, prec@10 0.516872, prec@30 0.535254, test_mae 0.020298, test_rmse 0.042066, test_mape 287.226562, test_acc 0.563754
Epoch 82, train_loss 0.001136, train_ic 0.034771, train_icir 0.492256, train_ric 0.037977, train_ricir 0.438143, train_mae 0.017408, train_rmse 0.024506, train_mape 121.114967, train_acc 0.414476, valid_loss 0.0013942131, valid_ic 0.005442, valid_icir 0.170875, valid_ric 0.016254, valid_ricir 0.211173, valid_mae 0.021278, valid_rmse 0.039744, valid_mape 148.413040, valid_acc 0.508576, test_loss 0.002059, ic 0.005448, icir 0.103537, ric 0.020586, ricir 0.299513, prec@10 0.541152, prec@30 0.531687, test_mae 0.019405, test_rmse 0.041924, test_mape 215.815598, test_acc 0.506687
Epoch 83, train_loss 0.001115, train_ic 0.052129, train_icir 0.647204, train_ric 0.018255, train_ricir 0.226542, train_mae 0.033588, train_rmse 0.042244, train_mape 120.233627, train_acc 0.180711, valid_loss 0.0013728874, valid_ic 0.006377, valid_icir 0.184885, valid_ric 0.001265, valid_ricir 0.024054, valid_mae 0.019612, valid_rmse 0.038344, valid_mape 134.793152, valid_acc 0.668407, test_loss 0.002028, ic 0.007269, icir 0.139432, ric 0.007782, ricir 0.145982, prec@10 0.546914, prec@30 0.547325, test_mae 0.018738, test_rmse 0.041272, test_mape 206.412552, test_acc 0.567321
Epoch 84, train_loss 0.001136, train_ic 0.045327, train_icir 0.553897, train_ric 0.001174, train_ricir 0.012422, train_mae 0.028374, train_rmse 0.035919, train_mape 118.974152, train_acc 0.344304, valid_loss 0.0013988921, valid_ic 0.013481, valid_icir 0.424257, valid_ric -0.001794, valid_ricir -0.029369, valid_mae 0.020850, valid_rmse 0.038721, valid_mape 154.423157, valid_acc 0.505593, test_loss 0.002077, ic 0.007368, icir 0.200657, ric -0.010708, ricir -0.175671, prec@10 0.521399, prec@30 0.521262, test_mae 0.019573, test_rmse 0.041844, test_mape 234.356430, test_acc 0.531877
Epoch 85, train_loss 0.001116, train_ic 0.051514, train_icir 0.548856, train_ric 0.037652, train_ricir 0.325525, train_mae 0.023466, train_rmse 0.029669, train_mape 7688.383301, train_acc 0.409635, valid_loss 0.0015903262, valid_ic 0.006493, valid_icir 0.156746, valid_ric 0.010760, valid_ricir 0.095822, valid_mae 0.019880, valid_rmse 0.037363, valid_mape 227.259567, valid_acc 0.750186, test_loss 0.002223, ic 0.008030, icir 0.145928, ric 0.022213, ricir 0.229159, prec@10 0.539918, prec@30 0.526749, test_mae 0.022662, test_rmse 0.042072, test_mape 405.463593, test_acc 0.594070
Epoch 86, train_loss 0.001127, train_ic 0.035328, train_icir 0.339273, train_ric 0.037335, train_ricir 0.296083, train_mae 0.028038, train_rmse 0.040066, train_mape 1859.961304, train_acc 0.496588, valid_loss 0.0014465264, valid_ic 0.001977, valid_icir 0.031027, valid_ric 0.007717, valid_ricir 0.060221, valid_mae 0.022698, valid_rmse 0.040886, valid_mape 177.076233, valid_acc 0.532438, test_loss 0.002100, ic 0.008690, icir 0.110393, ric 0.026344, ricir 0.194748, prec@10 0.535391, prec@30 0.529767, test_mae 0.020563, test_rmse 0.042521, test_mape 256.527100, test_acc 0.526750
Epoch 87, train_loss 0.001122, train_ic 0.038036, train_icir 0.477747, train_ric 0.021560, train_ricir 0.227197, train_mae 0.027266, train_rmse 0.035346, train_mape 154.289963, train_acc 0.409792, valid_loss 0.0013901083, valid_ic 0.014938, valid_icir 0.427484, valid_ric 0.015545, valid_ricir 0.192996, valid_mae 0.018323, valid_rmse 0.036730, valid_mape 161.839859, valid_acc 0.725578, test_loss 0.002020, ic 0.007431, icir 0.158948, ric 0.003765, ricir 0.053970, prec@10 0.516049, prec@30 0.525789, test_mae 0.019494, test_rmse 0.040739, test_mape 265.001984, test_acc 0.575123
Epoch 88, train_loss 0.001116, train_ic 0.045404, train_icir 0.498933, train_ric 0.037627, train_ricir 0.344210, train_mae 0.016752, train_rmse 0.026677, train_mape 458.259003, train_acc 0.419175, valid_loss 0.0014759810, valid_ic 0.008678, valid_icir 0.202166, valid_ric 0.012131, valid_ricir 0.114280, valid_mae 0.027166, valid_rmse 0.043084, valid_mape 225.594788, valid_acc 0.200845, test_loss 0.002092, ic 0.008876, icir 0.147163, ric 0.026823, ricir 0.247740, prec@10 0.534568, prec@30 0.532785, test_mae 0.022899, test_rmse 0.043282, test_mape 317.524353, test_acc 0.379403
Epoch 89, train_loss 0.001120, train_ic 0.038913, train_icir 0.526351, train_ric 0.025255, train_ricir 0.285974, train_mae 0.011579, train_rmse 0.017568, train_mape 142.282349, train_acc 0.446910, valid_loss 0.0013672836, valid_ic 0.009572, valid_icir 0.335095, valid_ric 0.009117, valid_ricir 0.156080, valid_mae 0.021269, valid_rmse 0.038439, valid_mape 152.784241, valid_acc 0.449416, test_loss 0.001989, ic 0.007554, icir 0.202498, ric 0.011967, ricir 0.222179, prec@10 0.527572, prec@30 0.517147, test_mae 0.019042, test_rmse 0.040630, test_mape 224.178741, test_acc 0.559519
Epoch 90, train_loss 0.001128, train_ic 0.036655, train_icir 0.466072, train_ric 0.026642, train_ricir 0.275947, train_mae 0.020043, train_rmse 0.026543, train_mape 424.031128, train_acc 0.453444, valid_loss 0.0015899656, valid_ic 0.007425, valid_icir 0.240732, valid_ric 0.011848, valid_ricir 0.132872, valid_mae 0.031674, valid_rmse 0.045487, valid_mape 297.545959, valid_acc 0.198359, test_loss 0.002207, ic 0.006280, icir 0.150628, ric 0.006241, ricir 0.079275, prec@10 0.541152, prec@30 0.523320, test_mae 0.026909, test_rmse 0.045077, test_mape 401.829102, test_acc 0.365805
Epoch 91, train_loss 0.001128, train_ic 0.041026, train_icir 0.493487, train_ric 0.037630, train_ricir 0.383298, train_mae 0.018631, train_rmse 0.026508, train_mape 139.362411, train_acc 0.571260, valid_loss 0.0013649857, valid_ic 0.004496, valid_icir 0.103040, valid_ric 0.008983, valid_ricir 0.107172, valid_mae 0.021342, valid_rmse 0.038558, valid_mape 156.024857, valid_acc 0.558538, test_loss 0.001969, ic 0.007952, icir 0.129471, ric 0.021342, ricir 0.240783, prec@10 0.545679, prec@30 0.526200, test_mae 0.018982, test_rmse 0.040447, test_mape 229.258636, test_acc 0.576683
Epoch 92, train_loss 0.001114, train_ic 0.036667, train_icir 0.440023, train_ric 0.036719, train_ricir 0.379785, train_mae 0.022756, train_rmse 0.028388, train_mape 474.136292, train_acc 0.565125, valid_loss 0.0018234523, valid_ic 0.010826, valid_icir 0.307075, valid_ric 0.021207, valid_ricir 0.244303, valid_mae 0.035761, valid_rmse 0.048280, valid_mape 365.514771, valid_acc 0.196868, test_loss 0.002421, ic 0.007593, icir 0.180289, ric 0.013875, ricir 0.165906, prec@10 0.519342, prec@30 0.513717, test_mae 0.031294, test_rmse 0.047667, test_mape 517.714478, test_acc 0.364913
Epoch 93, train_loss 0.001112, train_ic 0.048375, train_icir 0.574822, train_ric 0.025485, train_ricir 0.284152, train_mae 0.022453, train_rmse 0.029747, train_mape 256.747040, train_acc 0.215250, valid_loss 0.0016112436, valid_ic -0.000048, valid_icir -0.001023, valid_ric 0.003986, valid_ricir 0.045691, valid_mae 0.029181, valid_rmse 0.043907, valid_mape 259.510376, valid_acc 0.204574, test_loss 0.002137, ic 0.008337, icir 0.152115, ric 0.013091, ricir 0.150335, prec@10 0.567901, prec@30 0.583676, test_mae 0.024563, test_rmse 0.043409, test_mape 355.900940, test_acc 0.376728
Epoch 94, train_loss 0.001115, train_ic 0.059964, train_icir 0.670565, train_ric 0.032074, train_ricir 0.301549, train_mae 0.043112, train_rmse 0.049492, train_mape 110.578445, train_acc 0.209815, valid_loss 0.0013451008, valid_ic 0.009432, valid_icir 0.233553, valid_ric 0.004929, valid_ricir 0.057214, valid_mae 0.021390, valid_rmse 0.038032, valid_mape 150.004105, valid_acc 0.484961, test_loss 0.001924, ic 0.009741, icir 0.187439, ric 0.013863, ricir 0.168855, prec@10 0.548148, prec@30 0.545679, test_mae 0.018893, test_rmse 0.040036, test_mape 207.854294, test_acc 0.555506
Epoch 95, train_loss 0.001119, train_ic 0.046271, train_icir 0.476318, train_ric 0.042573, train_ricir 0.376737, train_mae 0.028487, train_rmse 0.034817, train_mape 173.578278, train_acc 0.097970, valid_loss 0.0013893289, valid_ic 0.005215, valid_icir 0.111199, valid_ric 0.014038, valid_ricir 0.130082, valid_mae 0.025723, valid_rmse 0.041393, valid_mape 204.689194, valid_acc 0.213025, test_loss 0.001971, ic 0.008687, icir 0.138133, ric 0.030139, ricir 0.257374, prec@10 0.562140, prec@30 0.544170, test_mae 0.022015, test_rmse 0.041987, test_mape 285.582092, test_acc 0.374498
Epoch 96, train_loss 0.001110, train_ic 0.031398, train_icir 0.416676, train_ric 0.029659, train_ricir 0.312270, train_mae 0.016354, train_rmse 0.024060, train_mape 127.077995, train_acc 0.567901, valid_loss 0.0013297544, valid_ic 0.012560, valid_icir 0.354364, valid_ric 0.016869, valid_ricir 0.159286, valid_mae 0.019843, valid_rmse 0.036590, valid_mape 138.653976, valid_acc 0.586875, test_loss 0.001899, ic 0.005641, icir 0.177099, ric 0.008785, ricir 0.087780, prec@10 0.516872, prec@30 0.509328, test_mae 0.019228, test_rmse 0.039675, test_mape 220.111603, test_acc 0.509808
Epoch 97, train_loss 0.001095, train_ic 0.050844, train_icir 0.637171, train_ric 0.026199, train_ricir 0.306467, train_mae 0.026105, train_rmse 0.035095, train_mape 155.912476, train_acc 0.484142, valid_loss 0.0013615430, valid_ic 0.008716, valid_icir 0.269186, valid_ric 0.008891, valid_ricir 0.167703, valid_mae 0.017827, valid_rmse 0.035115, valid_mape 153.891220, valid_acc 0.740492, test_loss 0.001921, ic 0.007858, icir 0.158093, ric 0.012422, ricir 0.226599, prec@10 0.537037, prec@30 0.540741, test_mae 0.019321, test_rmse 0.039348, test_mape 265.195526, test_acc 0.589835
Epoch 98, train_loss 0.001114, train_ic 0.041310, train_icir 0.469392, train_ric 0.053584, train_ricir 0.470505, train_mae 0.030547, train_rmse 0.037470, train_mape 344.486664, train_acc 0.138332, valid_loss 0.0015631775, valid_ic 0.010422, valid_icir 0.271261, valid_ric 0.025602, valid_ricir 0.263078, valid_mae 0.030856, valid_rmse 0.044302, valid_mape 281.485748, valid_acc 0.196371, test_loss 0.002122, ic 0.007782, icir 0.162126, ric 0.024845, ricir 0.269056, prec@10 0.526749, prec@30 0.521674, test_mae 0.026758, test_rmse 0.044181, test_mape 398.735931, test_acc 0.364021
Epoch 99, train_loss 0.001111, train_ic 0.029590, train_icir 0.335160, train_ric 0.048475, train_ricir 0.448055, train_mae 0.015952, train_rmse 0.024294, train_mape 265.234711, train_acc 0.672113, valid_loss 0.0014390365, valid_ic -0.003011, valid_icir -0.065738, valid_ric 0.017756, valid_ricir 0.173015, valid_mae 0.019419, valid_rmse 0.035485, valid_mape 193.481949, valid_acc 0.733035, test_loss 0.001966, ic 0.005934, icir 0.109511, ric 0.034183, ricir 0.328060, prec@10 0.506584, prec@30 0.534294, test_mae 0.020277, test_rmse 0.039334, test_mape 285.751617, test_acc 0.585823
Epoch 100, train_loss 0.001108, train_ic 0.041847, train_icir 0.456548, train_ric 0.007162, train_ricir 0.063365, train_mae 0.020570, train_rmse 0.025998, train_mape 188.373596, train_acc 0.251933, valid_loss 0.0013399039, valid_ic 0.020718, valid_icir 0.504245, valid_ric 0.008916, valid_ricir 0.092047, valid_mae 0.020203, valid_rmse 0.036368, valid_mape 162.769485, valid_acc 0.527218, test_loss 0.001900, ic 0.008393, icir 0.261159, ric -0.009728, ricir -0.097946, prec@10 0.500823, prec@30 0.500549, test_mae 0.019642, test_rmse 0.039192, test_mape 277.912109, test_acc 0.558850
Epoch 101, train_loss 0.001116, train_ic 0.030349, train_icir 0.281139, train_ric 0.034035, train_ricir 0.266008, train_mae 0.014987, train_rmse 0.024593, train_mape 153.779541, train_acc 0.667492, valid_loss 0.0013647388, valid_ic 0.000054, valid_icir 0.000991, valid_ric 0.008372, valid_ricir 0.066074, valid_mae 0.020590, valid_rmse 0.036727, valid_mape 159.051590, valid_acc 0.604524, test_loss 0.001895, ic 0.007728, icir 0.132369, ric 0.027164, ricir 0.234712, prec@10 0.511934, prec@30 0.516187, test_mae 0.019656, test_rmse 0.039168, test_mape 248.255707, test_acc 0.554391
Epoch 102, train_loss 0.001103, train_ic 0.020811, train_icir 0.271009, train_ric 0.030150, train_ricir 0.309652, train_mae 0.012110, train_rmse 0.019056, train_mape 130.792358, train_acc 0.518268, valid_loss 0.0013536166, valid_ic 0.003442, valid_icir 0.089135, valid_ric 0.010517, valid_ricir 0.118567, valid_mae 0.018947, valid_rmse 0.036068, valid_mape 140.372818, valid_acc 0.664430, test_loss 0.001898, ic 0.005507, icir 0.122440, ric 0.020568, ricir 0.271879, prec@10 0.516049, prec@30 0.513169, test_mae 0.019081, test_rmse 0.039284, test_mape 229.444641, test_acc 0.543691
Epoch 103, train_loss 0.001095, train_ic 0.054538, train_icir 0.547214, train_ric 0.036485, train_ricir 0.320076, train_mae 0.014641, train_rmse 0.022149, train_mape 7327.347656, train_acc 0.555271, valid_loss 0.0014683787, valid_ic 0.006966, valid_icir 0.142517, valid_ric 0.009550, valid_ricir 0.083515, valid_mae 0.029396, valid_rmse 0.043517, valid_mape 262.737946, valid_acc 0.196122, test_loss 0.002020, ic 0.009650, icir 0.154981, ric 0.020626, ricir 0.176493, prec@10 0.551029, prec@30 0.547462, test_mae 0.025080, test_rmse 0.042846, test_mape 374.274597, test_acc 0.365136
Epoch 104, train_loss 0.001109, train_ic 0.043258, train_icir 0.614090, train_ric 0.027362, train_ricir 0.361802, train_mae 0.025319, train_rmse 0.031126, train_mape 216.785736, train_acc 0.195301, valid_loss 0.0013284722, valid_ic 0.010133, valid_icir 0.326665, valid_ric 0.008124, valid_ricir 0.166735, valid_mae 0.017841, valid_rmse 0.034628, valid_mape 146.242325, valid_acc 0.732786, test_loss 0.001850, ic 0.006833, icir 0.149439, ric 0.011337, ricir 0.270080, prec@10 0.534156, prec@30 0.538683, test_mae 0.019095, test_rmse 0.038339, test_mape 258.803711, test_acc 0.588720
Epoch 105, train_loss 0.001110, train_ic 0.040559, train_icir 0.423448, train_ric 0.020486, train_ricir 0.174617, train_mae 0.014107, train_rmse 0.023810, train_mape 122.042442, train_acc 0.669146, valid_loss 0.0013253485, valid_ic 0.018037, valid_icir 0.390917, valid_ric 0.013267, valid_ricir 0.104191, valid_mae 0.022874, valid_rmse 0.037880, valid_mape 167.004013, valid_acc 0.374845, test_loss 0.001843, ic 0.007637, icir 0.230236, ric -0.003427, ricir -0.028264, prec@10 0.535802, prec@30 0.529904, test_mae 0.020557, test_rmse 0.039575, test_mape 223.914246, test_acc 0.414623
Epoch 106, train_loss 0.001113, train_ic 0.064120, train_icir 0.736634, train_ric 0.014530, train_ricir 0.147613, train_mae 0.013094, train_rmse 0.018398, train_mape 116.797806, train_acc 0.594217, valid_loss 0.0012784736, valid_ic 0.016838, valid_icir 0.494886, valid_ric 0.004699, valid_ricir 0.071885, valid_mae 0.022374, valid_rmse 0.037533, valid_mape 150.751862, valid_acc 0.308228, test_loss 0.001799, ic 0.009096, icir 0.222193, ric -0.004938, ricir -0.089143, prec@10 0.520165, prec@30 0.542524, test_mae 0.019371, test_rmse 0.038899, test_mape 187.126785, test_acc 0.389657
Epoch 107, train_loss 0.001093, train_ic 0.041803, train_icir 0.440818, train_ric 0.019896, train_ricir 0.169851, train_mae 0.055422, train_rmse 0.064940, train_mape 120.050797, train_acc 0.176217, valid_loss 0.0013197929, valid_ic 0.017391, valid_icir 0.390211, valid_ric 0.013101, valid_ricir 0.100864, valid_mae 0.017530, valid_rmse 0.034127, valid_mape 155.349197, valid_acc 0.733781, test_loss 0.001836, ic 0.007423, icir 0.223530, ric -0.004557, ricir -0.038512, prec@10 0.530864, prec@30 0.532099, test_mae 0.019438, test_rmse 0.038438, test_mape 269.076294, test_acc 0.574231
Epoch 108, train_loss 0.001096, train_ic 0.055473, train_icir 0.677380, train_ric 0.050380, train_ricir 0.522835, train_mae 0.042811, train_rmse 0.049209, train_mape 256.581909, train_acc 0.154296, valid_loss 0.0015753627, valid_ic 0.012326, valid_icir 0.420928, valid_ric 0.023589, valid_ricir 0.336545, valid_mae 0.019637, valid_rmse 0.034303, valid_mape 267.172394, valid_acc 0.752921, test_loss 0.002081, ic 0.008226, icir 0.189608, ric 0.021063, ricir 0.311086, prec@10 0.529218, prec@30 0.517284, test_mae 0.023582, test_rmse 0.039836, test_mape 443.375000, test_acc 0.594962
Epoch 109, train_loss 0.001098, train_ic 0.032465, train_icir 0.421343, train_ric 0.033666, train_ricir 0.372150, train_mae 0.038161, train_rmse 0.044319, train_mape 109.945259, train_acc 0.300586, valid_loss 0.0012950833, valid_ic 0.010521, valid_icir 0.312205, valid_ric 0.021231, valid_ricir 0.239027, valid_mae 0.020617, valid_rmse 0.036259, valid_mape 143.571808, valid_acc 0.468059, test_loss 0.001806, ic 0.006283, icir 0.224086, ric 0.012491, ricir 0.142994, prec@10 0.509465, prec@30 0.505487, test_mae 0.019767, test_rmse 0.038815, test_mape 212.110825, test_acc 0.422425
Epoch 110, train_loss 0.001087, train_ic 0.054843, train_icir 0.646382, train_ric 0.045066, train_ricir 0.478662, train_mae 0.026825, train_rmse 0.034567, train_mape 101.751495, train_acc 0.676418, valid_loss 0.0013021231, valid_ic 0.004316, valid_icir 0.090921, valid_ric 0.010444, valid_ricir 0.123629, valid_mae 0.021012, valid_rmse 0.037140, valid_mape 138.890823, valid_acc 0.573453, test_loss 0.001793, ic 0.008973, icir 0.141738, ric 0.022897, ricir 0.242610, prec@10 0.536626, prec@30 0.572977, test_mae 0.019105, test_rmse 0.038547, test_mape 197.421738, test_acc 0.536558
Epoch 111, train_loss 0.001093, train_ic 0.038084, train_icir 0.395631, train_ric 0.046697, train_ricir 0.405661, train_mae 0.018976, train_rmse 0.026084, train_mape 160.641266, train_acc 0.486341, valid_loss 0.0013593425, valid_ic 0.001160, valid_icir 0.024523, valid_ric 0.012012, valid_ricir 0.115755, valid_mae 0.019838, valid_rmse 0.035385, valid_mape 163.260345, valid_acc 0.670644, test_loss 0.001852, ic 0.007736, icir 0.144270, ric 0.030409, ricir 0.305401, prec@10 0.509053, prec@30 0.519753, test_mae 0.019605, test_rmse 0.038433, test_mape 256.377625, test_acc 0.575791
Epoch 112, train_loss 0.001076, train_ic 0.057266, train_icir 0.633670, train_ric 0.030544, train_ricir 0.306760, train_mae 0.021615, train_rmse 0.030905, train_mape 126.344276, train_acc 0.436468, valid_loss 0.0012659840, valid_ic 0.009415, valid_icir 0.218669, valid_ric 0.002146, valid_ricir 0.022487, valid_mae 0.022372, valid_rmse 0.037338, valid_mape 150.746185, valid_acc 0.350982, test_loss 0.001758, ic 0.010666, icir 0.194450, ric 0.015088, ricir 0.162798, prec@10 0.535802, prec@30 0.544170, test_mae 0.019167, test_rmse 0.038366, test_mape 187.723022, test_acc 0.452965
Epoch 113, train_loss 0.001097, train_ic 0.057825, train_icir 0.644910, train_ric 0.004603, train_ricir 0.046122, train_mae 0.011841, train_rmse 0.017598, train_mape 125.625023, train_acc 0.372417, valid_loss 0.0012840942, valid_ic 0.015062, valid_icir 0.413461, valid_ric -0.005417, valid_ricir -0.084673, valid_mae 0.020567, valid_rmse 0.035652, valid_mape 139.725937, valid_acc 0.459110, test_loss 0.001777, ic 0.009666, icir 0.306427, ric -0.011090, ricir -0.180362, prec@10 0.537860, prec@30 0.540741, test_mae 0.018725, test_rmse 0.038404, test_mape 184.720947, test_acc 0.534775
Epoch 114, train_loss 0.001098, train_ic 0.054931, train_icir 0.664500, train_ric 0.018070, train_ricir 0.192435, train_mae 0.019099, train_rmse 0.028030, train_mape 181.046631, train_acc 0.212455, valid_loss 0.0012889201, valid_ic 0.015735, valid_icir 0.483595, valid_ric 0.006055, valid_ricir 0.089328, valid_mae 0.024521, valid_rmse 0.038319, valid_mape 182.006531, valid_acc 0.240368, test_loss 0.001773, ic 0.008389, icir 0.223736, ric -0.004191, ricir -0.063695, prec@10 0.526337, prec@30 0.526200, test_mae 0.020279, test_rmse 0.038627, test_mape 217.057556, test_acc 0.390548
Epoch 115, train_loss 0.001091, train_ic 0.059995, train_icir 0.652110, train_ric 0.035950, train_ricir 0.333233, train_mae 0.034055, train_rmse 0.046988, train_mape 16696.529297, train_acc 0.381929, valid_loss 0.0013592286, valid_ic 0.014939, valid_icir 0.326575, valid_ric 0.010707, valid_ricir 0.121729, valid_mae 0.026868, valid_rmse 0.040709, valid_mape 223.499756, valid_acc 0.214765, test_loss 0.001858, ic 0.011649, icir 0.199742, ric 0.012044, ricir 0.139312, prec@10 0.527984, prec@30 0.524280, test_mae 0.022392, test_rmse 0.040160, test_mape 287.792694, test_acc 0.385198
Epoch 116, train_loss 0.001096, train_ic 0.051819, train_icir 0.613009, train_ric 0.023325, train_ricir 0.233320, train_mae 0.022119, train_rmse 0.028442, train_mape 122.663010, train_acc 0.417995, valid_loss 0.0012611851, valid_ic 0.018281, valid_icir 0.537676, valid_ric 0.010244, valid_ricir 0.156135, valid_mae 0.021928, valid_rmse 0.036568, valid_mape 160.929718, valid_acc 0.401690, test_loss 0.001741, ic 0.009457, icir 0.229599, ric 0.002313, ricir 0.035348, prec@10 0.510288, prec@30 0.526749, test_mae 0.018773, test_rmse 0.037524, test_mape 198.512772, test_acc 0.513598
Epoch 117, train_loss 0.001086, train_ic 0.012270, train_icir 0.128726, train_ric 0.029048, train_ricir 0.241131, train_mae 0.019307, train_rmse 0.027136, train_mape 132.916611, train_acc 0.544227, valid_loss 0.0013971128, valid_ic -0.002151, valid_icir -0.041667, valid_ric 0.012410, valid_ricir 0.098470, valid_mae 0.019346, valid_rmse 0.034930, valid_mape 151.005493, valid_acc 0.630624, test_loss 0.001854, ic 0.001703, icir 0.049166, ric 0.008108, ricir 0.066596, prec@10 0.504938, prec@30 0.532510, test_mae 0.019780, test_rmse 0.038530, test_mape 233.555145, test_acc 0.514044
Epoch 118, train_loss 0.001077, train_ic 0.045988, train_icir 0.538013, train_ric 0.037223, train_ricir 0.384370, train_mae 0.020098, train_rmse 0.027269, train_mape 412.045563, train_acc 0.396775, valid_loss 0.0014727888, valid_ic 0.006639, valid_icir 0.175565, valid_ric 0.011076, valid_ricir 0.166344, valid_mae 0.031139, valid_rmse 0.043754, valid_mape 286.457672, valid_acc 0.194134, test_loss 0.001952, ic 0.007382, icir 0.134619, ric 0.020701, ricir 0.278411, prec@10 0.535802, prec@30 0.523594, test_mae 0.025677, test_rmse 0.042139, test_mape 376.926605, test_acc 0.363798
Epoch 119, train_loss 0.001089, train_ic 0.061889, train_icir 0.627504, train_ric 0.013662, train_ricir 0.116580, train_mae 0.017953, train_rmse 0.023071, train_mape 109.493217, train_acc 0.775103, valid_loss 0.0014326782, valid_ic 0.025416, valid_icir 0.556691, valid_ric 0.002728, valid_ricir 0.031260, valid_mae 0.026756, valid_rmse 0.040475, valid_mape 209.577866, valid_acc 0.212279, test_loss 0.001850, ic 0.011802, icir 0.247177, ric -0.002655, ricir -0.033276, prec@10 0.527160, prec@30 0.536763, test_mae 0.021040, test_rmse 0.038957, test_mape 234.206970, test_acc 0.370932
Epoch 120, train_loss 0.001094, train_ic 0.035829, train_icir 0.447811, train_ric 0.050146, train_ricir 0.501016, train_mae 0.015842, train_rmse 0.023013, train_mape 168.376740, train_acc 0.709530, valid_loss 0.0014035013, valid_ic 0.007373, valid_icir 0.211866, valid_ric 0.021613, valid_ricir 0.267275, valid_mae 0.026026, valid_rmse 0.039930, valid_mape 213.423615, valid_acc 0.240616, test_loss 0.001839, ic 0.008475, icir 0.177538, ric 0.032366, ricir 0.395271, prec@10 0.511111, prec@30 0.511934, test_mae 0.022946, test_rmse 0.039961, test_mape 300.318787, test_acc 0.373384
Epoch 121, train_loss 0.001091, train_ic 0.045759, train_icir 0.502034, train_ric 0.043935, train_ricir 0.408867, train_mae 0.021177, train_rmse 0.025951, train_mape 255.031418, train_acc 0.283251, valid_loss 0.0013561312, valid_ic 0.005617, valid_icir 0.122584, valid_ric 0.015605, valid_ricir 0.157326, valid_mae 0.018843, valid_rmse 0.033811, valid_mape 180.158920, valid_acc 0.733035, test_loss 0.001810, ic 0.008458, icir 0.156914, ric 0.027145, ricir 0.266842, prec@10 0.519342, prec@30 0.522634, test_mae 0.019948, test_rmse 0.037803, test_mape 260.836548, test_acc 0.582702
Epoch 122, train_loss 0.001091, train_ic 0.052824, train_icir 0.678828, train_ric 0.046514, train_ricir 0.526338, train_mae 0.017647, train_rmse 0.024491, train_mape 106.036781, train_acc 0.545757, valid_loss 0.0012280730, valid_ic 0.009955, valid_icir 0.363568, valid_ric 0.018643, valid_ricir 0.286987, valid_mae 0.020914, valid_rmse 0.035632, valid_mape 136.717194, valid_acc 0.387770, test_loss 0.001675, ic 0.008244, icir 0.212541, ric 0.022918, ricir 0.402961, prec@10 0.527160, prec@30 0.538683, test_mae 0.018899, test_rmse 0.037216, test_mape 171.747482, test_acc 0.402363
Epoch 123, train_loss 0.001077, train_ic 0.056896, train_icir 0.651953, train_ric 0.019833, train_ricir 0.217739, train_mae 0.015632, train_rmse 0.023070, train_mape 136.050171, train_acc 0.575156, valid_loss 0.0013038064, valid_ic 0.017323, valid_icir 0.421699, valid_ric 0.008332, valid_ricir 0.129743, valid_mae 0.025811, valid_rmse 0.039113, valid_mape 201.095276, valid_acc 0.235396, test_loss 0.001754, ic 0.010845, icir 0.231006, ric 0.003868, ricir 0.066144, prec@10 0.541975, prec@30 0.545679, test_mae 0.021059, test_rmse 0.038576, test_mape 237.254425, test_acc 0.402140
Epoch 124, train_loss 0.001079, train_ic 0.061717, train_icir 0.788142, train_ric 0.032520, train_ricir 0.391759, train_mae 0.014077, train_rmse 0.018643, train_mape 206.141235, train_acc 0.376341, valid_loss 0.0012676823, valid_ic 0.018775, valid_icir 0.568660, valid_ric 0.010649, valid_ricir 0.218487, valid_mae 0.018256, valid_rmse 0.033289, valid_mape 144.619110, valid_acc 0.732786, test_loss 0.001691, ic 0.010495, icir 0.245913, ric 0.009610, ricir 0.219387, prec@10 0.534568, prec@30 0.538820, test_mae 0.018496, test_rmse 0.036243, test_mape 220.292374, test_acc 0.590281
