Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- MLP ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "seq_len": 16,
        "pred_len": 1,
        "d_model": 64,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.017796, train_ic -0.042925, train_icir -0.301206, train_ric 0.044093, train_ricir 0.265677, train_mae 0.051976, train_rmse 0.055955, train_mape 1235.895264, train_acc 0.481143, valid_loss 0.0030734298, valid_ic -0.021460, valid_icir -0.203130, valid_ric 0.049403, valid_ricir 0.437343, valid_mae 0.035841, valid_rmse 0.043150, valid_mape 756.779785, valid_acc 0.608974, test_loss 0.003614, ic -0.042480, icir -0.328394, ric 0.019459, ricir 0.150578, prec@10 0.393827, prec@30 0.447325, test_mae 0.036951, test_rmse 0.044339, test_mape 589.967896, test_acc 0.744209
Epoch 2, train_loss 0.006892, train_ic -0.052379, train_icir -0.383519, train_ric 0.025502, train_ricir 0.160253, train_mae 0.022813, train_rmse 0.030740, train_mape 306.400879, train_acc 0.399941, valid_loss 0.0012503680, valid_ic -0.036129, valid_icir -0.388435, valid_ric 0.034133, valid_ricir 0.328279, valid_mae 0.019835, valid_rmse 0.029356, valid_mape 275.976074, valid_acc 0.418536, test_loss 0.001696, ic -0.053322, icir -0.468282, ric 0.005260, ricir 0.043017, prec@10 0.399177, prec@30 0.437586, test_mae 0.025647, test_rmse 0.035556, test_mape 247.729324, test_acc 0.394050
Epoch 3, train_loss 0.006085, train_ic -0.051951, train_icir -0.396970, train_ric 0.014859, train_ricir 0.097884, train_mae 0.027896, train_rmse 0.038059, train_mape 174.409958, train_acc 0.503244, valid_loss 0.0011839187, valid_ic -0.041058, valid_icir -0.473203, valid_ric 0.023954, valid_ricir 0.248317, valid_mae 0.021157, valid_rmse 0.030103, valid_mape 305.099548, valid_acc 0.381143, test_loss 0.001625, ic -0.054976, icir -0.541279, ric -0.001708, ricir -0.015246, prec@10 0.429218, prec@30 0.452538, test_mae 0.029165, test_rmse 0.038315, test_mape 283.659302, test_acc 0.284565
Epoch 4, train_loss 0.005781, train_ic -0.052576, train_icir -0.404212, train_ric 0.006895, train_ricir 0.045202, train_mae 0.042134, train_rmse 0.046668, train_mape 949.284058, train_acc 0.524483, valid_loss 0.0023018804, valid_ic -0.044586, valid_icir -0.530275, valid_ric 0.018523, valid_ricir 0.191173, valid_mae 0.043862, valid_rmse 0.049495, valid_mape 819.637573, valid_acc 0.344818, test_loss 0.002709, ic -0.054672, icir -0.575946, ric -0.005670, ricir -0.051015, prec@10 0.433745, prec@30 0.447874, test_mae 0.052551, test_rmse 0.058955, test_mape 645.839478, test_acc 0.191661
Epoch 5, train_loss 0.005612, train_ic -0.054655, train_icir -0.413357, train_ric 0.016911, train_ricir 0.108754, train_mae 0.016143, train_rmse 0.024821, train_mape 161.089767, train_acc 0.530636, valid_loss 0.0011072015, valid_ic -0.043731, valid_icir -0.503023, valid_ric 0.028492, valid_ricir 0.279892, valid_mae 0.015307, valid_rmse 0.025543, valid_mape 200.744797, valid_acc 0.597489, test_loss 0.001579, ic -0.054468, icir -0.561967, ric 0.001179, ricir 0.009956, prec@10 0.445679, prec@30 0.455830, test_mae 0.019184, test_rmse 0.028450, test_mape 178.891907, test_acc 0.674957
Epoch 6, train_loss 0.005469, train_ic -0.052606, train_icir -0.410788, train_ric 0.006057, train_ricir 0.039767, train_mae 0.028665, train_rmse 0.034638, train_mape 534.295776, train_acc 0.347565, valid_loss 0.0015510399, valid_ic -0.044535, valid_icir -0.559703, valid_ric 0.019007, valid_ricir 0.197910, valid_mae 0.030966, valid_rmse 0.039272, valid_mape 533.648010, valid_acc 0.346154, test_loss 0.002083, ic -0.049119, icir -0.597096, ric -0.005596, ricir -0.051046, prec@10 0.513169, prec@30 0.498491, test_mae 0.039219, test_rmse 0.046226, test_mape 432.606781, test_acc 0.191904
Epoch 7, train_loss 0.005366, train_ic -0.051816, train_icir -0.399521, train_ric 0.015980, train_ricir 0.105178, train_mae 0.015554, train_rmse 0.023923, train_mape 259.588623, train_acc 0.467379, valid_loss 0.0010519225, valid_ic -0.042149, valid_icir -0.523499, valid_ric 0.024858, valid_ricir 0.259546, valid_mae 0.017133, valid_rmse 0.028759, valid_mape 208.913971, valid_acc 0.376603, test_loss 0.001616, ic -0.047374, icir -0.564536, ric -0.000992, ricir -0.008920, prec@10 0.555144, prec@30 0.523045, test_mae 0.023847, test_rmse 0.032748, test_mape 187.808563, test_acc 0.301634
Epoch 8, train_loss 0.005233, train_ic -0.048260, train_icir -0.378210, train_ric 0.003572, train_ricir 0.023720, train_mae 0.020655, train_rmse 0.025223, train_mape 365.135864, train_acc 0.224644, valid_loss 0.0012446104, valid_ic -0.042215, valid_icir -0.552042, valid_ric 0.014826, valid_ricir 0.160363, valid_mae 0.023810, valid_rmse 0.033849, valid_mape 374.740234, valid_acc 0.345353, test_loss 0.001828, ic -0.043530, icir -0.557418, ric -0.007519, ricir -0.069355, prec@10 0.465021, prec@30 0.462414, test_mae 0.032350, test_rmse 0.039908, test_mape 322.274719, test_acc 0.194343
Epoch 9, train_loss 0.005204, train_ic -0.053267, train_icir -0.403165, train_ric 0.015359, train_ricir 0.099614, train_mae 0.029951, train_rmse 0.033793, train_mape 605.588501, train_acc 0.677559, valid_loss 0.0023052707, valid_ic -0.041669, valid_icir -0.508332, valid_ric 0.025897, valid_ricir 0.269938, valid_mae 0.033887, valid_rmse 0.040127, valid_mape 736.072632, valid_acc 0.598024, test_loss 0.002911, ic -0.045224, icir -0.531948, ric -0.000071, ricir -0.000632, prec@10 0.430864, prec@30 0.437311, test_mae 0.029109, test_rmse 0.034448, test_mape 496.153870, test_acc 0.760302
Epoch 10, train_loss 0.004988, train_ic -0.048124, train_icir -0.379707, train_ric 0.004385, train_ricir 0.029339, train_mae 0.014995, train_rmse 0.022900, train_mape 180.557388, train_acc 0.478323, valid_loss 0.0010609604, valid_ic -0.041752, valid_icir -0.540991, valid_ric 0.016794, valid_ricir 0.182022, valid_mae 0.019986, valid_rmse 0.029761, valid_mape 283.597839, valid_acc 0.346154, test_loss 0.001589, ic -0.041386, icir -0.529293, ric -0.006685, ricir -0.062255, prec@10 0.425103, prec@30 0.418381, test_mae 0.027928, test_rmse 0.035724, test_mape 249.185989, test_acc 0.196537
Epoch 11, train_loss 0.005054, train_ic -0.043912, train_icir -0.343786, train_ric -0.000422, train_ricir -0.002814, train_mae 0.021172, train_rmse 0.026846, train_mape 428.882507, train_acc 0.268149, valid_loss 0.0010022506, valid_ic -0.039494, valid_icir -0.532490, valid_ric 0.009992, valid_ricir 0.111787, valid_mae 0.018814, valid_rmse 0.028117, valid_mape 256.090698, valid_acc 0.353632, test_loss 0.001462, ic -0.040185, icir -0.507629, ric -0.009662, ricir -0.088909, prec@10 0.447737, prec@30 0.445130, test_mae 0.027613, test_rmse 0.035436, test_mape 242.645935, test_acc 0.198000
